IPO,MarketCap,Income,Sales,Booksh,Dividend,Dividend_Percentage,Employees,PriceToEarnings,ForwardPTE,PriceToSales,PriceToBook,PutCallRatio,QuickRatio,CurrentRatio,DebtEquity,ROA(%),ROE(%),ROI(%),GrossMargin(%),OperationalMargin,ProfitMargin(%),Payout(%),SHSOutstanding,ShsFloat,ShortFloat(%),ShortRatio,TargetPrice,PerformanceHalfYear(%),PerformanceYear(%),PerformanceYTD(%)
UPST,1981000000.0,5810000.0,45070000.0,9.34,0.0,0.0,554.0,403.53,153.63,43.95,28.13,39.13,0.0,0.0,0.01,10.7,18.0,3.1,85.9,16.0,12.9,0.0,7667000.0,6558000.0,4.08,0.51,206.5,393.43,0.0,544.66
ANVS,29465000.0,-840000.0,0.0,6.6,0.0,0.0,2.0,0.0,0.0,0.0,5.35,5.99,56.0,56.0,0.0,-46.2,-48.4,0.0,0.0,0.0,0.0,0.0,737000.0,564000.0,12.61,0.83,0.0,31.19,620.24,368.57
ASAN,1469000000.0,-26380000.0,29340000.0,-0.29,0.0,0.0,1080.0,0.0,0.0,50.08,0.0,38.04,2.4,2.4,0.0,-30.0,414.1,-47.9,88.7,-59.8,-72.2,0.0,16208000.0,7151000.0,7.26,2.12,66.64,187.94,0.0,219.9
THRY,98823000.0,17050000.0,106000000.0,8.02,0.0,0.0,2313.0,5.99,12.19,0.93,3.74,62.55,1.2,1.2,2.4,12.7,93.1,33.3,63.6,14.9,16.1,0.0,3293000.0,3180000.0,2.74,4.59,44.5,55.09,91.63,122.3
ASO,416000000.0,49660000.0,613000000.0,14.27,0.0,0.0,22000.0,8.27,10.28,0.68,3.16,7.01,0.5,1.4,0.6,10.5,43.5,20.7,32.6,10.6,8.1,0.0,9218000.0,9088000.0,13.72,5.8,45.38,79.91,0.0,117.75
MRVI,1579000000.0,0.0,38133000.0,1.73,0.0,0.0,490.0,0.0,45.49,41.42,34.55,42.15,3.6,3.9,3.04,0.0,0.0,16.1,0.0,0.0,0.0,0.0,11220000.0,8907000.0,2.05,1.61,58.78,65.71,0.0,113.08
VEL,28483000.0,2110000.0,17860000.0,11.62,0.0,0.0,175.0,13.64,12.26,1.59,1.13,10.28,0.0,0.0,8.03,1.0,9.5,6.2,95.6,77.0,11.8,0.0,2009000.0,1288000.0,1.26,3.81,15.25,69.79,167.82,111.08
ACI,1550000000.0,70880000.0,6821000000.0,3.65,0.4,1.19,300000.0,27.44,15.22,0.23,9.18,7.13,0.5,1.1,4.92,2.7,48.1,13.0,29.1,1.8,1.0,6.6,46510000.0,23781000.0,5.69,10.59,26.17,95.11,147.96,90.56
MCFE,1169000000.0,-13400000.0,241000000.0,-56.92,0.46,1.7,6916.0,0.0,24.58,4.84,0.0,27.84,0.4,0.4,0.0,-1.5,1.3,-4.6,71.1,8.9,-3.4,0.0,16500000.0,5342000.0,5.05,2.6,29.43,32.19,0.0,89.61
IMNM,21046000.0,-2160000.0,0.0,5.29,0.0,0.0,23.0,0.0,0.0,0.0,3.28,3.52,17.8,17.8,0.0,-52.9,-95.1,0.0,0.0,0.0,0.0,0.0,1146000.0,859000.0,2.25,0.45,0.0,-43.21,0.0,79.24
BSY,1920000000.0,15950000.0,86750000.0,1.55,0.12,0.17,4104.0,135.81,87.0,22.13,44.51,146.3,0.7,0.7,2.69,10.1,54.3,19.0,77.4,17.0,18.4,11.2,30407000.0,20475000.0,3.4,4.44,69.57,59.07,0.0,70.3
LSPD,2104000000.0,-19270000.0,37830000.0,19.87,0.0,0.0,1800.0,0.0,0.0,55.61,5.99,27.76,4.9,4.9,0.03,-9.1,-10.2,-6.2,53.6,-52.9,-50.9,0.0,13159000.0,12808000.0,2.06,3.0,0.0,99.95,265.29,68.99
MEG,137000000.0,-10210000.0,46350000.0,5.34,0.0,0.0,2000.0,0.0,622.26,2.95,9.79,34.03,1.6,1.6,1.76,-16.3,-75.2,-8.1,32.5,-4.6,-22.0,0.0,2606000.0,2317000.0,3.64,6.35,58.83,27.46,80.62,68.83
RICE,49928000.0,0.0,0.0,2.96,0.0,0.0,0.0,0.0,22.41,0.0,5.84,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2966000.0,2373000.0,6.09,13.06,26.0,70.61,0.0,59.74
IMAB,532000000.0,7290000.0,23900000.0,13.68,0.0,0.0,228.0,305.45,0.0,22.25,5.45,7.17,9.3,9.3,0.0,0.0,0.0,9.8,0.0,0.0,0.0,0.0,6370000.0,3044000.0,6.32,3.28,91.21,45.37,101.05,58.07
RNLX,94829000.0,0.0,102000.0,2.41,0.0,0.0,17.0,0.0,0.0,930.61,10.17,12.73,21.2,21.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3602000.0,591000.0,6.55,4.26,38.0,-15.48,71.46,53.19
AUVI,6301000.0,-620000.0,700000.0,1.52,0.0,0.0,37.0,0.0,0.0,9.0,4.41,9.0,2.5,2.6,0.03,-41.7,-54.8,-33.1,26.8,-84.0,-89.0,0.0,941000.0,417000.0,0.98,0.11,0.0,-22.34,17.72,46.19
LEGN,609000000.0,-29690000.0,8640000.0,2.45,0.0,0.0,882.0,0.0,0.0,70.47,16.38,8.79,2.8,2.8,0.06,-40.7,-102.2,-107.5,0.0,0.0,0.0,0.0,13851000.0,12735000.0,1.15,3.75,52.75,63.13,35.71,42.51
CCCC,226000000.0,-8200000.0,3390000.0,9.5,0.0,0.0,99.0,0.0,0.0,66.62,4.97,4.85,10.8,10.8,0.02,-21.4,-40.8,-20.6,0.0,0.0,0.0,0.0,4385000.0,4223000.0,6.49,6.04,57.83,12.06,0.0,42.5
BNL,440000000.0,6810000.0,33050000.0,17.48,1.02,3.7,71.0,56.65,41.61,13.3,1.58,55.65,0.0,0.0,0.58,1.6,2.9,3.1,85.8,40.5,20.6,182.6,14612000.0,14435000.0,4.53,3.03,26.29,54.83,0.0,40.91
ONEW,61066000.0,6470000.0,122000000.0,16.65,0.0,0.0,1169.0,6.65,5.69,0.5,2.35,5.39,0.8,1.3,1.22,11.4,43.1,19.5,27.3,10.6,5.3,0.0,1098000.0,909000.0,4.36,4.45,57.0,1.56,50.84,40.21
BEAM,763000000.0,-40770000.0,2000.0,8.82,0.0,0.0,181.0,0.0,0.0,317803.5,12.86,12.4,5.3,5.3,0.01,-70.4,-115.1,0.0,0.0,0.0,0.0,0.0,6221000.0,4403000.0,11.72,6.54,119.17,34.97,419.47,38.9
ZI,2584000000.0,4290000.0,59040000.0,3.23,0.0,0.0,1747.0,262.44,98.61,43.76,20.64,64.64,1.4,1.4,0.0,1.8,8.4,1.4,81.3,18.8,7.3,0.0,19060000.0,15996000.0,4.7,2.28,71.13,41.2,104.42,38.21
DASH,6602000000.0,-56700000.0,416000000.0,13.8,0.0,0.0,3886.0,0.0,0.0,15.86,14.28,14.14,4.1,4.1,0.0,-10.6,-17.9,-8.7,52.7,-12.9,-13.6,0.0,33471000.0,30604000.0,3.96,4.07,194.55,39.33,0.0,38.09
PPD,1643000000.0,25830000.0,555000000.0,-1.55,0.0,0.0,26000.0,64.69,26.7,2.96,0.0,17.31,1.2,1.2,0.0,4.0,-35.9,11.3,37.1,10.8,4.7,0.0,35113000.0,21643000.0,7.1,11.3,47.25,34.44,44.93,36.67
DCBO,346000000.0,-2230000.0,10320000.0,7.41,0.0,0.0,488.0,0.0,3279.26,33.55,11.95,12.75,4.4,4.4,0.02,-8.3,-11.1,-3.7,81.9,-20.3,-21.6,0.0,3281000.0,1342000.0,1.13,2.43,0.0,113.76,0.0,36.03
NTST,104000000.0,30000.0,4680000.0,17.98,0.8,3.04,19.0,1095.0,86.16,22.15,1.46,11.76,0.0,0.0,0.0,0.0,0.1,-0.9,91.2,-11.3,0.6,0.0,3802000.0,3304000.0,3.38,2.92,27.61,48.73,43.06,34.84
ZNTL,312000000.0,-15160000.0,0.0,6.65,0.0,0.0,124.0,0.0,0.0,0.0,10.33,10.47,9.3,9.3,0.0,-35.1,-41.7,0.0,0.0,0.0,0.0,0.0,4036000.0,2660000.0,8.74,8.26,72.14,60.2,154.2,32.29
AVO,139000000.0,2960000.0,83800000.0,6.76,0.0,0.0,2500.0,48.12,19.54,1.66,2.91,15.31,2.2,2.7,0.37,3.9,6.8,4.9,15.3,5.6,3.4,0.0,7055000.0,3715000.0,2.83,4.67,24.0,-6.91,0.0,30.76
NREF,15955000.0,2610000.0,11470000.0,28.95,1.9,8.91,1.0,5.08,8.86,1.39,0.74,5.32,0.0,0.0,52.23,0.4,18.4,0.6,72.2,65.4,22.7,34.4,531000.0,511000.0,0.22,0.18,22.83,12.8,37.17,29.12
OZON,1103000000.0,-48360000.0,179000000.0,3.98,0.0,0.0,14834.0,0.0,0.0,6.15,13.1,0.0,2.2,2.5,1.27,-23.8,-68.4,-16.8,-0.7,-21.8,-27.0,0.0,20392000.0,20061000.0,1.16,3.66,0.0,0.93,0.0,25.89
GLSI,58464000.0,-280000.0,0.0,2.26,0.0,0.0,1.0,0.0,0.0,0.0,19.82,19.62,45.7,45.7,0.0,-11.6,-12.1,0.0,0.0,0.0,0.0,0.0,1290000.0,315000.0,5.83,2.18,75.0,37.04,0.0,22.84
FST,31462000.0,-3920000.0,0.0,5.71,0.0,0.0,0.0,0.0,0.0,0.0,2.19,786.55,0.3,0.3,0.0,-19.5,-24.2,0.0,0.0,0.0,0.0,0.0,2500000.0,1500000.0,9.86,13.35,0.0,9.96,0.0,21.87
GFL,1430000000.0,-80240000.0,477000000.0,15.0,0.04,0.11,15000.0,0.0,108.68,3.0,2.36,46.06,1.1,1.1,1.25,-5.2,-14.5,-1.2,4.7,-6.9,-16.8,0.0,36074000.0,28155000.0,2.9,8.89,0.0,5.92,85.5,21.42
JAMF,423000000.0,-3510000.0,31380000.0,6.82,0.0,0.0,1496.0,0.0,150.41,13.47,5.32,18.66,1.4,1.4,0.0,-3.2,-4.3,-1.4,78.1,-12.0,-11.2,0.0,11791000.0,11696000.0,3.47,6.63,44.2,2.03,-1.12,21.16
AYLA,17356000.0,-3720000.0,340000.0,2.97,0.0,0.0,34.0,0.0,0.0,51.05,4.48,3.91,9.0,9.0,0.0,-72.0,-82.3,-78.7,0.0,0.0,0.0,0.0,1442000.0,606000.0,2.33,4.77,22.83,0.53,51.36,21.09
PFHD,25349000.0,1760000.0,7830000.0,16.65,0.0,0.0,135.0,14.13,14.09,3.24,1.12,0.38,0.0,0.0,0.05,0.8,8.2,24.1,0.0,88.2,22.5,0.0,1340000.0,1240000.0,0.99,1.8,22.4,-1.06,39.82,21.06
STEP,459000000.0,10430000.0,116000000.0,3.22,0.28,0.58,586.0,43.7,37.55,3.94,14.93,20.99,0.0,0.0,0.0,8.8,50.9,0.0,63.7,0.0,9.0,6.4,9482000.0,3990000.0,1.68,2.0,46.25,55.01,0.0,20.78
LXEH,13340000.0,520000.0,2470000.0,4.27,0.0,0.0,517.0,25.64,0.0,5.4,2.34,4.04,2.3,2.4,0.11,0.0,0.0,6.4,28.3,16.2,21.1,0.0,1333000.0,267000.0,0.23,1.09,0.0,17.65,0.0,18.62
ALGM,585000000.0,4080000.0,66430000.0,3.26,0.0,0.0,3874.0,145.75,35.89,8.8,9.57,26.35,3.1,3.8,0.0,5.4,6.8,3.7,47.8,4.6,6.1,0.0,18959000.0,8495000.0,1.7,3.01,35.71,20.75,0.0,16.99
NGMS,109000000.0,0.0,5344000.0,2.34,0.0,0.0,153.0,0.0,53.08,20.39,18.92,16.66,2.4,2.4,0.57,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2515000.0,553000.0,2.23,0.95,62.33,48.86,0.0,16.53
EBC,359000000.0,6690000.0,41210000.0,19.93,0.32,1.7,407.0,46.89,16.98,8.7,0.95,51.89,0.0,0.0,0.0,0.4,2.2,11.3,0.0,99.7,16.2,34.8,17217000.0,17028000.0,1.7,4.25,24.25,2.33,0.0,15.57
FOUR,726000000.0,3040000.0,102000000.0,3.55,0.0,0.0,1305.0,228.2,72.92,7.15,24.3,10.38,5.4,5.4,3.79,1.9,8.6,-4.9,22.7,-5.6,3.0,0.0,8290000.0,3993000.0,16.6,6.77,107.78,6.68,74.16,14.4
GATO,98021000.0,680000.0,0.0,4.7,0.0,0.0,620.0,0.0,14.57,0.0,3.17,33.12,0.0,9.8,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,5975000.0,3414000.0,7.59,3.07,19.0,3.4,0.0,14.27
CERT,565000000.0,-5500000.0,26180000.0,5.66,0.0,0.0,846.0,0.0,122.72,21.57,6.79,21.08,5.8,5.8,0.35,-4.6,-7.4,-2.1,57.2,-13.4,-21.0,0.0,14749000.0,14313000.0,1.07,3.25,35.6,48.02,0.0,13.91
VTRU,38625000.0,0.0,54128000.0,8.38,0.0,0.0,6174.0,0.0,2.98,0.71,2.0,3.27,1.9,1.9,0.44,0.0,0.0,5.6,0.0,0.0,0.0,0.0,2306000.0,2161000.0,0.03,0.67,0.0,17.96,0.0,13.56
PLTR,5187000000.0,-126370000.0,133000000.0,1.09,0.0,0.0,2439.0,0.0,127.14,39.05,24.5,22.15,3.9,3.9,0.0,-44.4,-76.0,-67.5,71.0,-95.2,-95.1,0.0,189000000.0,163000000.0,3.46,1.33,24.61,10.06,0.0,13.38
BCAB,133000000.0,-7710000.0,40000.0,5.29,0.0,0.0,36.0,0.0,0.0,3319.0,7.27,6.39,5.9,5.9,0.0,0.0,0.0,-15.7,0.0,0.0,0.0,0.0,3368000.0,2703000.0,10.99,12.2,0.0,-31.4,0.0,13.11
ABNB,10320000000.0,-490900000.0,442000000.0,5.55,0.0,0.0,5597.0,0.0,377.57,23.33,29.73,13.89,1.5,1.5,0.58,-41.7,-243.1,-74.2,57.6,-80.4,0.0,0.0,61174000.0,33564000.0,3.72,1.86,175.71,-9.89,0.0,12.4
DCT,633000000.0,-3290000.0,24780000.0,5.59,0.0,0.0,1405.0,0.0,797.7,25.53,8.7,17.38,5.5,5.5,0.0,0.0,0.0,-4.1,55.6,0.0,0.0,0.0,13098000.0,9547000.0,3.9,7.88,51.2,7.49,32.88,12.38
SNOW,9161000000.0,-76080000.0,85120000.0,16.68,0.0,0.0,2017.0,0.0,0.0,107.62,18.73,22.15,5.1,5.1,0.0,-12.9,-15.3,-11.1,58.5,-91.1,-89.4,0.0,29772000.0,28104000.0,4.22,2.82,318.11,35.85,0.0,11.05
ACCD,325000000.0,-8540000.0,19400000.0,15.28,0.0,0.0,1720.0,0.0,0.0,16.74,3.15,7.49,5.7,5.7,0.0,-14.5,-27.3,-12.0,44.7,-22.3,-24.8,0.0,6607000.0,5767000.0,4.56,5.61,63.0,10.3,47.48,10.53
VIH,26224000.0,0.0,0.0,6.39,0.0,0.0,0.0,0.0,0.0,0.0,1.72,291.38,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2592000.0,1555000.0,45.19,8.45,0.0,-20.86,0.0,9.13
LIZI,21716000.0,-1720000.0,28440000.0,0.83,0.0,0.0,658.0,0.0,0.0,0.76,5.08,2.85,1.7,1.7,0.13,-23.4,-62.1,-43.0,26.9,-6.5,-6.0,0.0,4988000.0,2263000.0,8.62,1.27,0.0,-38.3,13.44,8.76
SOAC,43498000.0,-2150000.0,0.0,6.59,0.0,0.0,3.0,0.0,0.0,0.0,1.77,1449.95,0.1,0.1,0.0,-7.1,-8.3,0.0,0.0,0.0,0.0,0.0,3750000.0,2671000.0,6.97,4.05,0.0,14.27,15.4,8.64
LI,3208000000.0,-12520000.0,237000000.0,5.03,0.0,0.0,4181.0,0.0,83.76,13.56,6.16,5.95,5.0,5.2,0.25,-2.2,-3.0,-2.1,18.3,-7.9,-5.3,0.0,90505000.0,21628000.0,14.56,2.47,0.0,34.27,84.14,7.49
NRIX,149000000.0,-8910000.0,2290000.0,9.09,0.0,0.0,135.0,0.0,0.0,64.86,3.88,3.85,8.5,8.5,0.0,-20.7,-28.1,-15.3,0.0,0.0,0.0,0.0,4380000.0,4330000.0,8.05,8.05,49.17,-9.87,39.36,7.15
GTH,134000000.0,-5050000.0,7410000.0,2.5,0.0,0.0,799.0,0.0,0.0,18.11,6.0,7.17,7.3,7.5,0.06,-16.6,-19.7,-14.8,63.3,-74.7,-68.1,0.0,9198000.0,2726000.0,1.63,1.6,0.0,-29.74,27.23,7.14
FUBO,416000000.0,-60710000.0,41690000.0,4.39,0.0,0.0,220.0,0.0,0.0,9.97,6.74,10.22,0.0,2.0,0.51,-60.8,-166.6,-197.8,0.0,0.0,0.0,0.0,14053000.0,12721000.0,18.54,2.82,43.86,2.32,216.03,5.64
AZEK,641000000.0,-980000.0,110000000.0,8.98,0.0,0.0,1663.0,0.0,34.93,5.84,4.51,29.07,2.3,3.6,0.34,-0.5,-0.7,-2.9,33.6,2.7,-0.9,0.0,15385000.0,14993000.0,2.26,2.92,52.86,-5.82,6.36,5.28
PUBM,21342000.0,0.0,14870000.0,3.75,0.0,0.0,548.0,0.0,57.16,1.44,7.83,1.94,2.0,2.0,0.0,0.0,0.0,15.3,72.3,0.0,0.0,0.0,4911000.0,788000.0,35.4,2.11,46.75,-41.47,0.0,5.08
HRMY,209000000.0,1720000.0,23540000.0,2.22,0.0,0.0,150.0,129.9,14.32,8.86,17.03,13.07,5.5,5.6,1.55,4.8,16.1,-1.9,82.6,23.8,7.3,0.0,5694000.0,4612000.0,2.35,3.92,51.33,11.83,-8.67,4.56
NCNO,697000000.0,-4980000.0,23970000.0,4.5,0.0,0.0,1115.0,0.0,0.0,29.07,16.7,178.22,3.3,3.3,0.04,-7.3,-9.5,-9.8,58.5,-17.8,-16.9,0.0,9440000.0,9274000.0,4.46,6.17,85.63,6.84,-5.2,3.77
HYFM,232000000.0,-80000.0,42930000.0,14.85,0.0,0.0,327.0,0.0,36.13,5.4,3.67,11.98,3.5,5.3,0.0,-0.2,-0.3,1.3,20.3,1.5,-0.2,0.0,3786000.0,3671000.0,3.66,2.16,69.5,3.12,0.0,3.75
CND,36526000.0,0.0,0.0,7.45,0.0,0.0,2.0,0.0,0.0,0.0,1.4,608.76,8.9,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3525000.0,2241000.0,5.59,1.88,0.0,4.82,0.0,3.47
GDRX,1570000000.0,-31560000.0,63110000.0,2.02,0.0,0.0,450.0,0.0,80.1,24.87,20.62,17.54,16.4,16.4,0.81,-20.6,-41.5,-19.3,93.9,-58.1,-50.0,0.0,40836000.0,6906000.0,27.65,11.04,41.71,-1.68,0.0,3.25
TLS,217000000.0,-2980000.0,20060000.0,2.47,0.0,0.0,785.0,0.0,48.45,10.83,13.75,16.59,4.6,4.6,0.09,-17.5,-43.5,10.1,33.7,-11.5,-14.9,0.0,6662000.0,5778000.0,3.23,2.59,42.33,8.08,0.0,2.97
ABST,75284000.0,470000.0,15160000.0,0.7,0.27,2.22,535.0,133.74,88.83,4.97,17.39,4.28,1.4,1.4,0.45,1.9,39.7,13.1,86.9,4.8,3.1,243.5,4764000.0,3739000.0,1.03,4.38,0.0,-18.43,-4.62,2.18
KYMR,326000000.0,-5840000.0,6450000.0,5.72,0.0,0.0,112.0,0.0,0.0,50.58,11.06,9.09,3.4,3.4,0.01,-12.3,-21.0,-16.2,0.0,-91.1,-90.5,0.0,4509000.0,2830000.0,7.07,4.2,76.29,16.04,114.01,2.0
WMG,2000000000.0,27100000.0,505000000.0,0.16,0.6,1.56,5500.0,73.09,37.73,3.96,240.75,45.24,0.6,0.6,41.57,4.0,0.0,-9.4,48.6,10.9,5.4,91.1,51435000.0,9449000.0,4.82,8.61,41.93,10.21,32.42,1.4
BRLI,6166000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611000.0,0.0,0.0,1.76,0.0,-1.56,0.0,0.8
DBDR,29335000.0,0.0,0.0,6.53,0.0,0.0,3.0,0.0,0.0,0.0,1.55,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2895000.0,1737000.0,1.07,2.44,0.0,1.2,0.0,0.3
TMTS,25150000.0,0.0,0.0,6.78,0.0,0.0,2.0,0.0,0.0,0.0,1.48,2515.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0,1444000.0,0.33,0.54,0.0,1.0,0.0,0.0
MLAC,17812000.0,-730000.0,0.0,8.88,0.0,0.0,0.0,0.0,0.0,0.0,1.11,890.59,0.0,0.0,0.0,-5.1,-5.6,0.0,0.0,0.0,0.0,0.0,1438000.0,1438000.0,0.27,0.91,0.0,-0.6,0.0,-0.2
SGAM,18044000.0,0.0,0.0,6.97,0.0,0.0,0.0,0.0,0.0,0.0,1.43,601.46,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1797000.0,1438000.0,0.71,1.93,0.0,0.3,0.0,-0.4
HZAC,68005000.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,43.92,0.0,1.35,850.07,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6800000.0,2520000.0,0.23,0.27,0.0,-1.38,0.0,-0.5
ACIC,62380000.0,0.0,0.0,7.27,0.0,0.0,0.0,0.0,0.0,0.0,1.38,2079.33,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6250000.0,4995000.0,18.49,10.48,0.0,-8.51,0.0,-0.6
BREZ,14703000.0,860000.0,0.0,7.11,0.0,0.0,0.0,17.1,0.0,0.0,1.42,735.15,0.8,0.8,0.0,9.8,11.1,0.0,0.0,0.0,0.0,0.0,1462000.0,1206000.0,0.28,2.83,0.0,0.61,0.0,-0.78
GNRS,21958000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2189000.0,2189000.0,1.33,4.22,0.0,-0.1,1.32,-0.99
